score,rank,ticker,name,price,change%,signals,pt_BB,pt_出来高,pt_収縮,pt_MA,pt_MA75補正,BB上限,BB中央,BB下限,BW%,MA5,MA25,MA75,出来高比
30,★☆☆,3402.T,"Toray Industries, Inc.",1163.5,-0.34,"バンド収縮, ゴールデンC",0,0,20,10,0,1183.91,1141.96,1100.01,7.35,1147.7,1141.96,1165.06,1.53
30,★☆☆,BRK-B,Berkshire Hathaway Inc.,482.86,-0.55,"バンド収縮, ゴールデンC",0,0,20,10,0,485.71,474.72,463.73,4.63,481.77,474.72,484.46,0.11
30,★☆☆,PG,The Procter & Gamble Company,144.1,1.3,"バンド収縮, デッドC",0,0,20,10,0,149.45,144.8,140.15,6.42,144.01,144.8,149.54,0.31
30,★☆☆,AMT,American Tower Corporation,174.29,0.24,"バンド収縮, デッドC",0,0,20,10,0,183.17,178.28,173.4,5.48,176.2,178.28,178.67,0.1
30,★☆☆,ABBV,AbbVie Inc.,211.46,1.42,"バンド収縮, ゴールデンC",0,0,20,10,0,212.99,205.01,197.04,7.78,206.43,205.01,214.26,0.1
30,★☆☆,LIN,Linde plc,510.17,-0.6,"バンド収縮, ゴールデンC",0,0,20,10,0,515.22,502.25,489.29,5.16,504.97,502.25,490.45,0.12
30,★☆☆,8306.T,"Mitsubishi UFJ Financial Group, Inc.",2877.0,-1.69,"バンド収縮, ゴールデンC",0,0,20,10,0,2944.33,2844.34,2744.35,7.03,2870.5,2844.34,2788.19,0.96
30,★☆☆,7269.T,Suzuki Motor Corporation,1920.0,6.19,出来高急増,0,30,0,0,0,1925.5,1822.4,1719.3,11.31,1820.1,1822.4,2006.19,2.01
30,★☆☆,7267.T,"Honda Motor Co., Ltd.",1320.0,3.77,出来高急増,0,30,0,0,0,1338.55,1284.36,1230.17,8.44,1273.5,1284.36,1391.75,2.65
30,★☆☆,7201.T,"Nissan Motor Co., Ltd.",365.7,0.36,出来高急増,0,30,0,0,0,375.11,357.93,340.75,9.6,355.1,357.93,377.7,2.38
30,★☆☆,7202.T,Isuzu Motors Limited,2377.5,3.89,出来高急増,0,30,0,0,0,2469.24,2284.1,2098.96,16.21,2219.9,2284.1,2443.7,2.34
30,★☆☆,6412.T,Heiwa Corporation,1880.0,3.13,出来高急増,0,30,0,0,0,1948.69,1861.0,1773.31,9.42,1832.0,1861.0,1915.19,2.07
30,★☆☆,6594.T,Nidec Corporation,2687.0,10.35,出来高急増,0,30,0,0,0,2759.67,2395.12,2030.57,30.44,2661.6,2395.12,2312.88,2.33
20,★☆☆,5202.T,"Nippon Sheet Glass Company, Limited",482.0,0.0,バンド収縮,0,0,20,0,0,484.56,480.36,476.16,1.75,483.0,480.36,537.23,0.28
20,★☆☆,PGR,The Progressive Corporation,198.1,1.09,バンド収縮,0,0,20,0,0,206.84,199.88,192.92,6.97,196.68,199.88,202.91,0.07
20,★☆☆,D,"Dominion Energy, Inc.",62.71,-0.02,バンド収縮,0,0,20,0,0,64.35,62.63,60.92,5.46,62.56,62.63,62.47,0.07
20,★☆☆,SO,The Southern Company,93.27,0.14,バンド収縮,0,0,20,0,0,97.37,94.22,91.07,6.7,92.96,94.22,94.39,0.14
20,★☆☆,WMT,Walmart Inc.,131.96,0.38,バンド収縮,0,0,20,0,0,133.59,128.72,123.85,7.56,130.36,128.72,126.09,0.15
20,★☆☆,MA,Mastercard Incorporated,491.23,0.12,バンド収縮,0,0,20,0,0,525.0,505.29,485.58,7.8,494.99,505.29,511.44,0.09
20,★☆☆,COST,Costco Wholesale Corporation,1032.2,-0.09,バンド収縮,0,0,20,0,0,1033.15,1003.46,973.77,5.92,1019.08,1003.46,994.79,0.11
